loc,lat,long,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
כפר יאסיף,32.9531,35.1611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,9.0,0.0,0.0
צפת - נוף כנרת,32.9526,35.5298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,6.0,0.0,0.0
כפר יסיף,32.952,35.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
שומרת,32.9515,35.095,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,19.0,15.0,0.0,0.0
הר-חלוץ,32.9506,35.3123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
הר חלוץ,32.9497,35.3124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,0.0,0.0
בוסתן הגליל,32.9486,35.0807,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,23.0,17.0,0.0,0.0
אליפלט,32.9478,35.5485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,15.0,16.0,3.0,0.0,0.0
כישור,32.9467,35.2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,5.0,0.0,0.0
ג'וליס,32.945,35.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,14.0,6.0,0.0,0.0
שפר,32.9446,35.4378,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0
סאג'ור,32.9431,35.3436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0
לבון,32.9412,35.2865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,6.0,0.0,0.0
עין אל אסד,32.9408,35.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
צפת - עכברה,32.940786,35.495516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,3.0,0.0,0.0
יונתן,32.9397,35.7955,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
אמירים,32.9374,35.4504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,3.0,0.0,0.0
ראמה,32.9371,35.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0
נחף,32.9347,35.3165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,5.0,0.0,0.0
דיר אל-אסד,32.9344,35.2684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,9.0,0.0,0.0
שזור,32.9339,35.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0
פלך,32.9336,35.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,4.0,0.0,0.0
עכו,32.9331,35.0827,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,13.0,46.0,39.0,0.0,0.0
פרוד,32.9331,35.4343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0
עמיעד,32.9304,35.5405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,17.0,3.0,0.0,0.0
בענה,32.9295,35.2719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,9.0,0.0,0.0
ג'דידה מכר,32.9287,35.1506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,34.0,30.0,0.0,0.0
תובל,32.9285,35.2457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,5.0,0.0,0.0
כרכום,32.9283,35.6063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
חד נס,32.9275,35.6414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
אזור תעשייה כרמיאל,32.9263,35.3191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,5.0,0.0,0.0
טל - אל,32.9262,35.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,5.0,0.0,0.0
מורן,32.9216,35.3948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
מג'דל כרום,32.9201,35.2566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,9.0,0.0,0.0
עין כמונים,32.9194,35.4301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
כפר חנניה,32.916,35.4238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
ראס אל-עין,32.9157,35.3727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
כרמיאל,32.9147,35.2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,9.0,0.0,0.0
בית העלמין החדש עכו,32.9146,35.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,22.0,0.0,0.0
אלמגור,32.9127,35.6023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
כמון,32.9125,35.3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0
עינבר,32.9097,35.4237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
מכמנים,32.9075,35.3287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0
אחיהוד,32.9074,35.1717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,8.0,0.0,0.0
חזון,32.9066,35.3953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0
אזור תעשייה בר-לב,32.9063,35.1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,5.0,0.0,0.0
אמנון,32.905,35.5711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0
צורית גילון,32.9043,35.2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,6.0,0.0,0.0
כורזים ורד הגליל,32.9042,35.5508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,9.0,2.0,0.0,0.0
עין המפרץ,32.9026,35.093,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13.0,45.0,36.0,0.0,0.0
יסעור,32.9011,35.1666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,0.0,0.0
חוסנייה,32.9006,35.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,3.0,0.0,0.0
קדרים,32.8989,35.4716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0
עכו - אזור תעשייה,32.8984,35.0863,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,16.0,51.0,39.0,0.0,0.0
סלמה,32.8932,35.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
שורשים,32.8927,35.2586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,0.0,0.0
חוף אמנון,32.8912,35.5934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
כפר מסריק,32.8912,35.0984,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,46.0,42.0,0.0,0.0
מע'אר,32.8907,35.4046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0
כחל,32.8905,35.5116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0
שעב,32.8897,35.2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0
מעלה צביה,32.8894,35.3314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0
מעלה גמלא,32.8883,35.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
ערב אל נעים,32.8875,35.2909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,4.0,0.0,0.0
אשחר,32.8851,35.2996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,4.0,0.0,0.0
איזור תעשייה מילואות צפון,32.882892,35.093887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,74.0,0.0,0.0
יעד,32.8812,35.2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,0.0,0.0
לוטם וחמדון,32.8809,35.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
אזור תעשייה שער נעמן,32.8805,35.0976,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,32.0,29.0,0.0,0.0
כפר נחום,32.88033,35.573307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
חוקוק,32.8786,35.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
יובלים,32.8782,35.2693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,4.0,0.0,0.0
אשבל,32.877,35.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,2.0,0.0,0.0
כלנית,32.8753,35.454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
טבחה,32.872222,35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
בית סוהר צלמון,32.8717,35.4474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
כנף,32.8704,35.6979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
כאבול,32.87,35.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,6.0,0.0,0.0
טפחות,32.8686,35.4222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0
אזור תעשייה תרדיון,32.8677,35.2731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0
אזור תעשייה קריית ביאליק,32.8671,35.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,28.0,0.0,0.0
עצמון - שגב,32.8658,35.2523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,4.0,0.0,0.0
סכנין,32.8642,35.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,4.0,0.0,0.0
לבנים,32.8638,35.4975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
דיר חנא,32.8623,35.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0
חוף כינר,32.8601174,35.6433776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
מרכז אזורי משגב,32.8588,35.2598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0
רקפת,32.8556,35.2642,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,5.0,0.0,0.0
דוגה,32.8547735,35.6469053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
נטור,32.8541,35.7526,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
עראבה,32.8537,35.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0
מנוף,32.8533,35.2374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0
טמרה,32.8522,35.2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,13.0,0.0,0.0
רביד,32.8506,35.4641,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
רמות,32.8504,35.6652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
דוגית,32.8501501173828,35.64865911859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
קריית ים,32.8493,35.0689,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,38.0,30.0,0.0,0.0
שכניה,32.8492,35.2467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,2.0,0.0,0.0
גינוסר,32.8487,35.5232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
הררית יחד,32.8457,35.3693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
חספין,32.8456,35.793,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
חוף גולן,32.8451844,35.648951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
קורנית,32.8444,35.2519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,3.0,0.0,0.0
מסד,32.8442,35.4232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,1.0,0.0,0.0
רמת מגשימים,32.8441,35.8066,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0
צאלון,32.8406392301827,35.6496810386412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
מגדל,32.8395,35.4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0
אפק,32.8383,35.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,15.0,0.0,0.0
קריית מוצקין,32.8382,35.0795,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,36.0,34.0,0.0,0.0
מצפה אבי''ב,32.837951,35.201059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,0.0,0.0
עילבון,32.8379,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,0.0
יודפת,32.8366,35.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,2.0,0.0,0.0
אבטליון,32.8358,35.3504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0
אזור תעשייה טמרה,32.833,35.1642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,11.0,0.0,0.0
נוב,32.8329,35.7836,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
קריית ביאליק,32.8322,35.0884,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,38.0,37.0,0.0,0.0
כאוכב אבו אלהיג'א,32.8319,35.2487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,1.0,0.0,0.0
ואדי אל חמאם,32.8284,35.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0
חיפה - קריית חיים ושמואל,32.8283,35.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,22.0,0.0,0.0
מורשת,32.8261,35.232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0
אבני איתן,32.8248,35.7658,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
חוף כורסי,32.8243278,35.6449279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
אעבלין,32.8218,35.1901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,9.0,0.0,0.0
כפר ביאליק,32.8214,35.0877,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,25.0,18.0,0.0,0.0
לבנון,32.8202,35.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
גשור,32.8199,35.7157,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
חלוקים,32.8167708586479,35.6458060664514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
דמיידה,32.815,35.2266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0
ארבל,32.8127,35.4826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0
כפר מנדא,32.8124,35.2586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,3.0,0.0,0.0
כפר זיתים,32.8116,35.4652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,0.0
חיפה - מערב,32.8087,34.9603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,8.0,0.0,0.0
בועיינה-נוג'ידאת,32.8077,35.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,1.0,0.0,0.0
הדר ועיר תחתית,32.8072,34.9878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,14.0,0.0,0.0
חיפה - כרמל ועיר תחתית,32.8072,34.9877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אלי עד,32.8066,35.7366,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
נבי שועייב,32.8058,35.4522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0
שפרעם,32.8058,35.17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,11.0,0.0,0.0
קריית אתא,32.8052,35.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,24.0,0.0,0.0
חיפה - מפרץ,32.8049,35.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,22.0,0.0,0.0
חוף גופרה,32.8042,35.6429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
חיפה - כרמל,32.80263,34.983837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,14.0,0.0,0.0
אזור תעשייה בני יהודה,32.8023,35.7156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
מצפה נטופה,32.8017,35.3835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,0.0
כפר חיטים,32.8,35.5033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0
בני יהודה וגבעת יואב,32.7983,35.6911,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
אושה,32.7965,35.1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,9.0,0.0,0.0
טבריה,32.7959,35.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0
רמת יוחנן,32.7935,35.1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,8.0,0.0,0.0
כפר המכבי,32.7918,35.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.0,0.0,0.0
עוזייר,32.7906,35.3269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0
מצפה,32.79,35.5079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
חוף סוסיתא,32.7897,35.6398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
הודיות,32.7886,35.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,1.0,0.0,0.0
רומאנה,32.7881,35.3112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
לביא,32.7876,35.4407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,1.0,0.0,0.0
נאות גולן,32.787,35.6932,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
אזור תעשייה קדמת גליל,32.7854,35.4631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0
עין גב,32.7834,35.6401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0
חנתון,32.7831,35.2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0
עדי,32.7824,35.1734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0
בית רימון,32.7818,35.3277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0
חיפה - נווה שאנן ורמות כרמל,32.7812,35.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,11.0,0.0,0.0
אפיק,32.7794,35.703,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
רומת אל הייב,32.7776,35.3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
אתר ההנצחה גולני,32.7774,35.4103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0
ביר אלמכסור,32.7773,35.2206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,9.0,3.0,0.0,0.0
גבעת אבני,32.7754,35.4362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,1.0,0.0,0.0
טורעאן,32.7751,35.3783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0
ראס עלי,32.7729,35.1555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0
חוואלד,32.771,35.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0
