loc,lat,long,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
שעל,33.1165,35.7188,0.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,17.0,8.0,12.0,4.0,6.0,2.0,0.0,0.0
לב החולה,33.1103,35.5819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,10.0,0.0,0.0
רמות נפתלי,33.1024,35.5533,1.0,3.0,8.0,15.0,9.0,8.0,9.0,18.0,19.0,13.0,16.0,23.0,18.0,8.0,0.0,0.0
זרעית,33.099,35.2885,0.0,4.0,12.0,5.0,10.0,8.0,4.0,14.0,16.0,7.0,20.0,29.0,49.0,22.0,0.0,0.0
מלכיה,33.0986,35.5096,1.0,5.0,10.0,15.0,6.0,7.0,7.0,21.0,23.0,12.0,18.0,17.0,20.0,11.0,0.0,0.0
עין זיוון,33.0965,35.7963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0
אביבים,33.0894,35.4703,1.0,7.0,7.0,7.0,5.0,3.0,4.0,7.0,8.0,4.0,3.0,10.0,33.0,29.0,0.0,0.0
ערב אל עראמשה,33.0888,35.2288,3.0,8.0,12.0,14.0,9.0,8.0,18.0,15.0,13.0,11.0,13.0,23.0,28.0,19.0,0.0,0.0
חניתה,33.0876,35.1734,5.0,4.0,5.0,4.0,8.0,13.0,19.0,19.0,11.0,18.0,19.0,18.0,41.0,20.0,0.0,0.0
אורטל,33.0862,35.7587,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,4.0,5.0,5.0,4.0,0.0,0.0
ראש הנקרה,33.0861,35.1135,6.0,5.0,4.0,5.0,2.0,10.0,6.0,14.0,4.0,3.0,5.0,12.0,42.0,35.0,0.0,0.0
שתולה,33.0859,35.3156,1.0,13.0,11.0,1.0,3.0,9.0,5.0,8.0,8.0,11.0,14.0,25.0,44.0,19.0,0.0,0.0
שומרה,33.0825,35.282,1.0,3.0,7.0,4.0,7.0,8.0,5.0,4.0,6.0,8.0,14.0,20.0,40.0,27.0,0.0,0.0
דישון,33.0823,35.5176,1.0,6.0,9.0,16.0,6.0,6.0,7.0,17.0,23.0,13.0,9.0,14.0,12.0,10.0,0.0,0.0
חוף בצת,33.0801,35.1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,33.0,0.0,0.0
אדמית,33.0788,35.2095,0.0,3.0,4.0,4.0,8.0,5.0,17.0,15.0,8.0,12.0,10.0,13.0,23.0,10.0,0.0,0.0
יראון,33.0772,35.4543,0.0,6.0,6.0,8.0,5.0,1.0,4.0,7.0,8.0,6.0,4.0,6.0,30.0,27.0,0.0,1.0
אבן מנחם,33.0751,35.2952,1.0,4.0,7.0,3.0,4.0,7.0,4.0,4.0,3.0,6.0,4.0,8.0,27.0,26.0,0.0,0.0
שלומי,33.0726,35.1459,11.0,13.0,8.0,9.0,6.0,15.0,12.0,19.0,18.0,21.0,22.0,34.0,67.0,59.0,0.0,0.0
בצת,33.07,35.1326,10.0,8.0,6.0,3.0,1.0,11.0,9.0,15.0,10.0,9.0,9.0,19.0,44.0,57.0,0.0,0.0
אזור תעשייה אכזיב מילואות,33.0684,35.1102,8.0,4.0,2.0,2.0,0.0,4.0,6.0,10.0,5.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0
יערה,33.068,35.1861,0.0,3.0,5.0,2.0,7.0,5.0,16.0,15.0,11.0,17.0,13.0,17.0,37.0,19.0,0.0,0.0
נטועה,33.0654,35.3234,1.0,2.0,2.0,2.0,2.0,7.0,8.0,9.0,9.0,10.0,11.0,16.0,18.0,13.0,0.0,0.0
אילון,33.0625,35.2192,0.0,1.0,6.0,3.0,6.0,7.0,13.0,13.0,5.0,9.0,11.0,15.0,19.0,9.0,0.0,0.0
מצובה,33.0623,35.1557,4.0,4.0,1.0,2.0,4.0,3.0,9.0,12.0,10.0,14.0,8.0,15.0,42.0,38.0,0.0,0.0
גורנות הגליל,33.0593,35.2497,1.0,3.0,5.0,1.0,5.0,8.0,6.0,12.0,6.0,9.0,3.0,8.0,15.0,19.0,0.0,0.0
ברעם,33.059,35.4332,0.0,6.0,6.0,8.0,5.0,3.0,5.0,7.0,7.0,6.0,7.0,10.0,14.0,13.0,0.0,0.0
לימן,33.0587,35.1118,9.0,4.0,1.0,2.0,1.0,4.0,4.0,11.0,5.0,6.0,6.0,19.0,46.0,76.0,0.0,0.0
גורן,33.0556,35.2336,1.0,1.0,8.0,2.0,7.0,8.0,8.0,14.0,6.0,9.0,5.0,12.0,16.0,18.0,0.0,0.0
יסוד המעלה,33.0536,35.589,0.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,4.0,3.0,4.0,2.0,7.0,7.0,0.0,0.0
חולתה,33.0529,35.6092,0.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,4.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0
עלמה,33.0519,35.4996,1.0,1.0,2.0,7.0,3.0,1.0,3.0,4.0,12.0,2.0,1.0,8.0,12.0,7.0,0.0,0.0
דוב''ב,33.0508,35.407747,0.0,5.0,4.0,4.0,4.0,2.0,1.0,5.0,7.0,5.0,7.0,10.0,25.0,20.0,0.0,0.0
ריחאנייה,33.0499,35.4871,0.0,2.0,2.0,7.0,3.0,1.0,3.0,4.0,12.0,3.0,1.0,9.0,14.0,8.0,0.0,0.0
חוות אירוח גורן,33.0488,35.2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,5.0,0.0,0.0
עבדון,33.0488,35.1791,0.0,3.0,1.0,0.0,2.0,3.0,6.0,6.0,7.0,12.0,12.0,14.0,20.0,19.0,0.0,0.0
פסוטה,33.0478,35.3088,1.0,0.0,3.0,2.0,1.0,4.0,6.0,7.0,7.0,4.0,6.0,10.0,20.0,15.0,0.0,0.0
שדה אליעזר,33.0465,35.5653,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,5.0,2.0,4.0,3.0,4.0,7.0,0.0,0.0
מלון אחוזת ירדן,33.0452,35.5735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
אלוני הבשן,33.0441,35.8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
מתת,33.0417,35.3567,0.0,5.0,4.0,4.0,2.0,2.0,5.0,8.0,3.0,3.0,6.0,16.0,12.0,5.0,0.0,0.0
גשר הזיו,33.0405,35.1106,6.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,5.0,17.0,34.0,75.0,0.0,0.0
כרם בן זמרה,33.0392,35.4699,0.0,4.0,2.0,7.0,6.0,2.0,3.0,3.0,11.0,3.0,6.0,18.0,18.0,11.0,0.0,0.0
מנות,33.0387,35.1952,0.0,1.0,0.0,0.0,2.0,2.0,4.0,6.0,5.0,8.0,7.0,14.0,14.0,16.0,0.0,0.0
אבירים,33.0381,35.286,1.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,24.0,18.0,0.0,0.0
הילה,33.0362,35.2446,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,18.0,13.0,0.0,0.0
אלקוש,33.0343,35.3263,2.0,0.0,2.0,1.0,1.0,3.0,6.0,7.0,5.0,3.0,3.0,8.0,14.0,10.0,0.0,0.0
קדמת צבי,33.0295,35.6977,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,10.0,4.0,5.0,2.0,9.0,2.0,0.0,0.0
סאסא,33.0287,35.3946,0.0,6.0,2.0,2.0,2.0,0.0,3.0,6.0,7.0,7.0,11.0,13.0,20.0,15.0,0.0,0.0
סער,33.0287,35.1092,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,13.0,34.0,62.0,0.0,0.0
אזור תעשייה רמת דלתון,33.0279,35.4768,0.0,4.0,2.0,7.0,7.0,1.0,4.0,4.0,11.0,2.0,3.0,22.0,19.0,13.0,0.0,0.0
נווה זיו,33.0274,35.1843,0.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,10.0,9.0,10.0,13.0,17.0,21.0,0.0,0.0
מעיליא,33.0272,35.2563,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,24.0,22.0,0.0,0.0
צבעון,33.0264,35.4167,0.0,2.0,0.0,1.0,5.0,3.0,0.0,8.0,6.0,6.0,8.0,8.0,19.0,16.0,0.0,0.0
רפטינג נהר הירדן,33.025279,35.627449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0
ג'ש - גוש חלב,33.0213,35.4479,0.0,4.0,2.0,7.0,5.0,4.0,4.0,4.0,6.0,4.0,8.0,18.0,19.0,10.0,0.0,0.0
איילת השחר,33.0211,35.5767,1.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,7.0,8.0,10.0,5.0,9.0,5.0,0.0,0.0
כברי,33.021,35.147,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,13.0,6.0,6.0,22.0,31.0,0.0,0.0
גדות,33.0182,35.6195,0.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,6.0,5.0,6.0,1.0,7.0,1.0,0.0,0.0
מעונה,33.0169,35.2636,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,24.0,17.0,0.0,0.0
חורפיש,33.0167,35.3471,0.0,1.0,0.0,0.0,2.0,2.0,4.0,6.0,3.0,4.0,6.0,7.0,9.0,9.0,0.0,0.0
דלתון,33.0166,35.4899,0.0,4.0,2.0,7.0,8.0,1.0,4.0,4.0,12.0,3.0,5.0,30.0,26.0,18.0,0.0,0.0
מעלות תרשיחא,33.015,35.276,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,26.0,19.0,0.0,0.0
ספסופה - כפר חושן,33.0131,35.4402,0.0,2.0,0.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,11.0,16.0,8.0,0.0,0.0
מלון פרא,33.0122,35.6514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0
בית ספר שדה מירון,33.0115,35.3922,0.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,4.0,8.0,9.0,13.0,7.0,5.0,0.0,0.0
עין יעקב,33.0093,35.229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,9.0,11.0,7.0,0.0,0.0
נהריה,33.0085,35.0981,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,3.0,8.0,16.0,58.0,106.0,0.0,0.0
צוריאל,33.0065,35.3148,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,4.0,1.0,4.0,12.0,5.0,0.0,0.0
געתון,33.0061,35.2138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,0.0,9.0,10.0,9.0,0.0,0.0
קדיתא,33.006,35.4683,0.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,8.0,2.0,5.0,19.0,22.0,15.0,0.0,0.0
