name,lat,long,total,eng,oct7map
צומת הבית הלבן,31.3311539950811,34.4077891539946,1,White House jct,
סמוך לכיסופים,31.36914,34.39315,1,Near Kisufim,
סמוך לכביש 2424,31.37281,34.401653,1,Near road 2424,
ערערה בנגב,31.160927,35.019757,1,Ar'ara,Arara
כביש רעים - אורים,31.3419613674272,34.5051451093551,1,Re'im-Urim road,
מוצב כרם שלום,31.2305456661852,34.2868788433916,1,Kerem Shalom Base,
סמוך לרעים,31.3852124427032,34.4538423644134,1,Near Re'im,
צפונית לכרם שלום,31.2396494649759,34.2934079740074,1,North of Kerem Shalom,
סמוך לצומת מבטחים,31.2545616995774,34.3973505684882,1,Near Mivtahim jct,
סמוך למוצב כיסופים,31.3761346060901,34.4023832767583,1,Near Kisufim Base,
שדות יכיני,31.494184474791,34.5963825869542,1,Yakhini Fields,
מזרחית למחנה עופר,31.8661249181297,35.191302850631,1,East of Ofer Camp,
ירי בשוגג בדרך לנתיב העשרה,31.5711925456624,34.5470178881721,1,Friendly fire near Netiv HaAsara,
צומת יכיני,31.4805599847471,34.5918292048947,1,Yakhini jct,
אבו גוש,31.8061517274756,35.1104181445333,1,Abu Gosh,
ירי בשוגג ליד מבקיעים,31.6200665069165,34.5808941844254,1,Friendly fire near Mavki'im,
ישע,31.2474064229403,34.4030848019845,1,Yesha,Yesha
מפגש יד מרדכי,31.5881364086797,34.5644676212696,1,Mifgash Yad Mordekhay,
מערבית לזיקים,31.606694750743,34.513296484211,1,West of Zikim,
ירי בשוגג בעלומים,31.4534977111291,34.5171100065418,1,Friendly fire in Alumim,
מסיבת פסיידאק,31.3417157186523,34.4161349190368,0,Psyduck Party,Psyduck
