time,loc,locOrig
17-May-2021 14:31:00,"אורים","אורים"
17-May-2021 14:25:00,"כיסופים","כיסופים"
17-May-2021 14:22:00,"יכיני","יכיני"
17-May-2021 14:22:00,"יושיביה","יושיביה"
17-May-2021 14:22:00,"נתיבות","נתיבות"
17-May-2021 14:22:00,"תקומה","תקומה"
17-May-2021 14:22:00,"תקומה","תקומה וחוות יזרעם"
17-May-2021 14:22:00,"סעד","סעד"
17-May-2021 14:22:00,"כפר מימון ותושיה","כפר מימון ותושיה"
17-May-2021 14:22:00,"זמרת ושובה","זמרת ושובה"
17-May-2021 14:22:00,"שוקדה","שוקדה"
17-May-2021 14:07:00,"כיסופים","כיסופים"
17-May-2021 14:00:00,"ואדי אל נעם","ואדי אל נעם"
17-May-2021 13:59:00,"בית הגדי","בית הגדי"
17-May-2021 13:59:00,"תקומה","תקומה וחוות יזרעם"
17-May-2021 13:59:00,"סעד","סעד"
17-May-2021 13:59:00,"יושיביה","יושיביה"
17-May-2021 13:59:00,"נתיבות","נתיבות"
17-May-2021 13:59:00,"זמרת ושובה","זמרת ושובה"
17-May-2021 13:59:00,"כפר מימון ותושיה","כפר מימון ותושיה"
17-May-2021 13:59:00,"תלמי ביל''ו","תלמי ביל''ו"
17-May-2021 13:59:00,"תקומה","תקומה"
17-May-2021 13:59:00,"כפר עזה","כפר עזה"
17-May-2021 13:31:00,"גילת","גילת"
17-May-2021 13:31:00,"בטחה","בטחה"
17-May-2021 13:31:00,"מסלול","מסלול"
17-May-2021 13:31:00,"ברוש","ברוש"
17-May-2021 13:31:00,"תדהר","תדהר"
17-May-2021 13:31:00,"באר שבע","באר שבע - דרום"
17-May-2021 13:31:00,"פעמי תש''ז","פעמי תש''ז"
17-May-2021 13:31:00,"קלחים","קלחים"
17-May-2021 13:30:00,"שובל","שובל"
17-May-2021 13:30:00,"גיאה","גיאה"
17-May-2021 13:30:00,"בית שקמה","בית שקמה"
17-May-2021 13:30:00,"אשקלון","אזור תעשייה צפוני אשקלון"
17-May-2021 13:30:00,"אופקים","אופקים"
17-May-2021 13:30:00,"אשקלון","אשקלון"
17-May-2021 13:30:00,"גבעות בר","גבעות בר"
17-May-2021 13:30:00,"להבים","להבים"
17-May-2021 13:30:00,"תראבין א-צאנע ופזורה","תראבין א-צאנע ופזורה"
17-May-2021 13:30:00,"משמר הנגב","משמר הנגב"
17-May-2021 13:30:00,"אשל הנשיא","אשל הנשיא"
17-May-2021 13:30:00,"לקיה","לקיה והפזורה"
17-May-2021 13:30:00,"רהט","רהט והפזורה"
17-May-2021 13:30:00,"אזור תעשייה עידן הנגב","אזור תעשייה עידן הנגב"
17-May-2021 13:30:00,"נבטים","נבטים"
17-May-2021 13:30:00,"גילת","גילת"
17-May-2021 13:30:00,"רנן","רנן"
17-May-2021 13:30:00,"באר שבע","באר שבע - מזרח"
17-May-2021 13:30:00,"דימונה","אבו-תלול והפזורה"
17-May-2021 13:30:00,"באר שבע","באר שבע - צפון"
17-May-2021 13:30:00,"בטחה","בטחה"
17-May-2021 13:30:00,"פדויים","פדויים"
17-May-2021 13:30:00,"מולדה, אל-סייד והפזורה","מולדה, אל-סייד והפזורה"
17-May-2021 13:30:00,"תל שבע","תל שבע"
17-May-2021 13:30:00,"תפרח","תפרח"
17-May-2021 13:30:00,"חצרים","חצרים"
17-May-2021 13:30:00,"בית שקמה","בת הדר"
17-May-2021 13:30:00,"באר שבע","באר שבע - מערב"
17-May-2021 13:30:00,"ניצנים","ניצנים"
17-May-2021 13:30:00,"ניצן","ניצן"
17-May-2021 13:30:00,"באר גנים","באר גנים"
17-May-2021 13:30:00,"מבקיעים","מבקיעים"
17-May-2021 13:30:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
17-May-2021 13:30:00,"באר שבע","באר שבע - דרום"
17-May-2021 13:29:00,"אשדוד","אזור תעשייה עד הלום"
17-May-2021 13:29:00,"אמונים","אמונים"
17-May-2021 13:29:00,"אשדוד","אשדוד - ג,ו,ז"
17-May-2021 13:29:00,"אשדוד","אשדוד - אזור תעשייה צפוני ונ"
17-May-2021 13:29:00,"אשדוד","אשדוד - ח,ט,י,יג,יד,טז"
17-May-2021 13:29:00,"שדה עוזיהו","שדה עוזיהו"
17-May-2021 13:29:00,"שתולים","שתולים"
17-May-2021 13:29:00,"אשדוד","אשדוד - א,ב,ד,ה"
17-May-2021 13:29:00,"בית עזרא","בית עזרא"
17-May-2021 13:29:00,"אשדוד","אשדוד - יא,יב,טו,יז,מרינה"
17-May-2021 13:29:00,"אשקלון","אזור תעשייה צפוני אשקלון"
17-May-2021 13:29:00,"אשקלון","אשקלון"
17-May-2021 13:29:00,"ואדי אל נעם","ואדי אל נעם"
17-May-2021 13:29:00,"ניצן","ניצן"
17-May-2021 13:29:00,"ניצנים","ניצנים"
17-May-2021 13:29:00,"מבקיעים","מבקיעים"
17-May-2021 13:29:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
17-May-2021 13:29:00,"בית שקמה","בת הדר"
17-May-2021 13:29:00,"גיאה","גיאה"
17-May-2021 13:29:00,"תלמי יפה","תלמי יפה"
17-May-2021 13:28:00,"באר גנים","באר גנים"
17-May-2021 13:28:00,"בית שקמה","בית שקמה"
17-May-2021 13:11:00,"כרם שלום","כרם שלום"
17-May-2021 13:08:00,"נתיב העשרה","נתיב העשרה"
17-May-2021 13:01:00,"באר שבע","באר שבע - מערב"
17-May-2021 13:00:00,"באר שבע","באר שבע - דרום"
17-May-2021 12:44:00,"ניר עוז","ניר עוז"
17-May-2021 12:36:00,"ניר עוז","ניר עוז"
17-May-2021 12:36:00,"ארז","ארז"
17-May-2021 12:31:00,"מעגלים","מעגלים גבעולים מלילות"
17-May-2021 12:31:00,"שיבולים","שיבולים"
17-May-2021 12:31:00,"ברוש","ברוש"
17-May-2021 12:31:00,"שרשרת","שרשרת"
17-May-2021 12:31:00,"תדהר","תדהר"
17-May-2021 12:31:00,"תאשור","תאשור"
17-May-2021 12:31:00,"תפרח","תפרח"
17-May-2021 12:30:00,"רנן","רנן"
